iso639_3,glottocode,name,l1_speakers,year,source_note
ynk,nauk1242,Naukan Yupik,50,,"wikidata P1098 (unqualified, assumed L1)"
amq,amah1245,Amahai,50,2007,wikidata P1098 (first-language qualified)
mok,moro1289,Marori,50,1998,"wikidata P1098 (unqualified, assumed L1)"
brd,bara1357,Baraamu,50,,"wikidata P1098 (unqualified, assumed L1)"
arl,arab1268,Arabela,50,,"wikidata P1098 (unqualified, assumed L1)"
avk,kota1280,Kotava,50,,"wikidata P1098 (unqualified, assumed L1)"
yux,sout2750,Southern Yukaghir,50,,"wikidata P1098 (unqualified, assumed L1)"
oaa,orok1265,Orok,47,,"wikidata P1098 (unqualified, assumed L1)"
kju,kash1280,Kashaya,45,,"wikidata P1098 (unqualified, assumed L1)"
bpl,broo1238,Broome Pearling Lugger Pidgin,45,,"wikidata P1098 (unqualified, assumed L1)"
clw,chul1246,Lower Chulym Turkic,44,2010,"wikidata P1098 (unqualified, assumed L1)"
ing,dege1248,Degexit'an,40,,"wikidata P1098 (unqualified, assumed L1)"
coo,como1259,Comox,40,2007,"wikidata P1098 (unqualified, assumed L1)"
ykg,nort2745,Northern Yukaghir,40,,"wikidata P1098 (unqualified, assumed L1)"
ono,onon1246,Onondaga,40,2007,"wikidata P1098 (unqualified, assumed L1)"
iqu,iqui1243,Iquito,35,,"wikidata P1098 (unqualified, assumed L1)"
qvp,paca1245,Pacaraos Quechua,35,1993,"wikidata P1098 (unqualified, assumed L1)"
mez,meno1252,Menominee,35,2007,wikidata P1098 (first-language qualified)
ibu,ibuu1240,Ibu,35,1987,"wikidata P1098 (unqualified, assumed L1)"
kuu,uppe1438,Upper Kuskokwim,35,,"wikidata P1098 (unqualified, assumed L1)"
mrc,mari1440,Maricopa,35,2015,wikidata P1098 (first-language qualified)
iow,iowa1245,Iowa-Oto,33,2006,"wikidata P1098 (unqualified, assumed L1)"
